Trial04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,13/09/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,08:25:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type:,ShareSpace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,marche moyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAJECTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tempe_D,,,front,,,tempe_G,,,occiput,,,epaule_D,,,dos,,,coude_D,,,poignet_int_D,,,poignet_ext_D,,,epaule_G,,,coude_G,,,poignet_int_G,,,poignet_ext_G,,,sternum,,,hanche_D,,,hanche_G,,,femur_D,,,femur_G,,,genoux_ext_D,,,genoux_ext_G,,,genoux_int_G,,,genoux_int_D,,,tibias_D,,,tibias_G,,,cheville_ext_G,,,cheville_ext_D,,,cheville_int_D,,,cheville_int_G,,,orteil_G,,,talon_G,,,orteil_D,,,talon_D,,
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
230,93.970818,-267.817657,1714.792725,26.492399,-172.404999,1719.814819,-86.58287,-264.04007,1713.512817,-16.888445,-384.952911,1725.601685,180.132538,-442.982788,1479.918945,-30.233379,-508.639679,1459.698975,260.599091,-458.275543,1155.522705,306.068787,-419.887665,887.453491,251.957047,-274.473663,919.472473,-237.558395,-426.602783,1488.028076,-321.433868,-373.843933,1175.535889,-384.892975,-250.916641,923.370667,-328.735321,-133.359085,1016.233032,-24.580231,-293.02951,1385.073486,124.733322,-373.310913,1106.95166,-160.81189,-342.652496,1107.373169,178.211166,-290.797424,846.649414,-184.400711,-371.531403,703.364929,160.391663,-166.001053,614.281799,-137.498077,-385.666504,551.439331,-22.137711,-414.757355,546.159119,51.564278,-138.277054,597.077698,169.781433,-183.91806,499.179413,-158.726944,-442.485199,335.598785,-114.363968,-471.671112,105.013374,116.043762,-315.153961,192.931534,46.659744,-257.255402,195.354279,-33.808437,-452.87561,130.641495,-60.048149,-266.030151,51.352776,-69.980255,-544.584167,68.62661,120.160126,-110.326118,86.404572,61.200928,-372.421539,147.481277
231,94.668144,-256.545685,1714.075439,26.036469,-159.987762,1718.94104,-85.894775,-252.741104,1712.787476,-16.309904,-373.616882,1725.19104,180.282013,-431.69693,1478.920166,-30.097883,-497.262756,1458.915161,260.863281,-447.625916,1154.850952,306.983765,-410.298096,886.47345,251.979462,-264.947021,917.309265,-237.325592,-415.221069,1487.69397,-322.434204,-359.196899,1176.005249,-385.947144,-231.910126,925.933655,-328.505768,-116.158211,1020.491211,-24.410934,-281.50885,1384.759888,125.402405,-361.200439,1106.413452,-160.55986,-330.844635,1106.957397,178.305389,-278.87027,845.894348,-183.112656,-364.336945,702.547607,159.632416,-155.226578,612.947021,-137.383362,-381.567017,551.406433,-21.938873,-410.291809,546.472778,52.038052,-127.556198,595.81427,170.216476,-168.609711,496.748291,-158.708618,-440.56601,336.194946,-114.127907,-471.078369,105.806107,119.420952,-280.670258,181.70961,50.705181,-221.689346,187.464493,-33.728172,-452.322632,131.138275,-60.051762,-265.666656,51.561985,-70.192688,-544.60907,69.228386,126.133705,-69.558434,87.057037,64.216904,-335.695618,132.610611
232,95.207077,-245.453598,1713.164063,26.42989,-148.559937,1717.714478,-85.24324,-241.328705,1711.892212,-15.801974,-362.29126,1724.583618,180.578659,-420.475189,1477.710693,-29.727339,-485.906006,1458.109741,261.068909,-436.86972,1153.537354,308.260315,-400.699066,885.500305,252.134689,-255.246017,915.19342,-236.972534,-403.744263,1487.257935,-323.018158,-344.76944,1176.071045,-386.259308,-213.252441,928.176697,-328.39389,-99.28933,1024.557251,-24.181692,-270.107758,1384.082153,125.908981,-349.382599,1105.231201,-160.240189,-318.945007,1106.035278,178.451355,-267.591064,844.459534,-182.256027,-357.473969,701.669067,158.654449,-145.103561,610.895935,-137.433823,-377.366089,551.308289,-21.697544,-405.732391,546.788879,51.715935,-117.837524,593.555054,170.632294,-154.401733,494.118103,-157.991318,-438.430054,336.464294,-113.805656,-470.689514,106.532646,123.364143,-244.885986,171.550049,54.885876,-186.406006,180.452255,-33.380932,-451.664185,131.612656,-60.050156,-265.489288,51.397648,-69.563721,-543.953979,69.414101,132.855194,-28.983109,89.264816,67.671944,-294.983124,116.898224
233,95.998764,-234.193893,1712.07605,27.198112,-137.183029,1716.42334,-84.63913,-229.968399,1710.767334,-15.270374,-351.105438,1723.598511,181.109207,-409.409332,1476.544922,-29.508366,-474.48642,1456.639893,261.442413,-426.045532,1152.343384,309.692139,-390.955017,884.499207,251.947433,-245.74205,912.853638,-236.549271,-392.502319,1486.500977,-323.765869,-330.803772,1176.014771,-386.758484,-195.070694,930.362183,-328.195251,-82.914551,1028.304321,-23.906294,-258.554718,1383.262817,126.10466,-336.662506,1104.352661,-159.98764,-306.575134,1105.345581,178.509613,-256.147095,842.252869,-182.346497,-350.642365,701.294373,157.484863,-135.913208,607.78656,-137.218811,-372.766022,550.847229,-21.160336,-401.734192,547.30481,51.536041,-108.48114,590.589111,170.851334,-140.654297,490.68454,-157.436066,-436.125366,336.556427,-113.45182,-470.412567,107.096367,126.798111,-209.331406,162.745911,58.097435,-151.296692,174.374176,-32.986404,-451.022125,131.9702,-59.74387,-265.527618,50.912933,-69.186287,-543.657227,70.013947,139.430481,10.700031,93.307724,71.184601,-257.211731,105.108841
234,96.619095,-223.16124,1710.883545,28.509268,-126.424446,1715.246216,-84.022491,-218.841263,1709.590332,-14.590314,-340.021179,1722.541382,181.531509,-397.99823,1475.013794,-28.851957,-462.991333,1455.324219,261.885315,-415.047852,1150.815918,310.304749,-380.868408,882.991211,252.00177,-235.828125,910.621704,-236.029602,-381.00589,1485.557983,-324.148651,-316.740326,1175.759033,-387.050201,-176.989655,932.336182,-327.975708,-66.644035,1031.929443,-23.47015,-247.246384,1382.0896,126.972717,-324.198761,1102.78418,-159.536011,-294.395844,1104.408325,178.495117,-244.704529,839.313599,-182.302658,-343.77124,700.763123,156.208221,-127.610191,603.974304,-137.056656,-368.32251,550.550232,-20.915581,-396.831818,547.536194,50.645451,-100.090309,586.635925,170.706863,-127.325043,486.921875,-157.153656,-433.779663,336.960297,-113.293808,-469.969574,107.862526,130.027771,-174.979233,154.870071,62.085423,-117.043175,168.882217,-32.751186,-450.327606,132.519775,-59.764694,-265.519501,50.861187,-68.871315,-543.417236,70.774971,145.749939,49.230373,98.876663,74.503799,-219.843781,95.923561
235,97.469467,-211.961853,1709.396606,28.788879,-114.837364,1713.812378,-83.330505,-207.853836,1708.383057,-13.99201,-328.891449,1721.164551,181.914841,-386.430542,1473.142944,-28.406645,-451.565704,1453.56958,262.120575,-404.287598,1149.319946,311.17981,-370.770569,881.631531,251.928299,-226.045349,908.264221,-235.434875,-369.601288,1484.339233,-324.290161,-303.101166,1175.190186,-387.081055,-159.517593,933.777771,-327.401398,-50.777721,1034.916504,-23.177517,-235.596909,1381.00647,127.631828,-311.274323,1101.000732,-159.326218,-282.296936,1103.141113,178.425293,-234.006348,835.605896,-182.845032,-337.427979,700.323608,154.63205,-119.037834,599.652649,-136.923798,-363.34433,550.050598,-20.917519,-391.389709,547.307617,49.556278,-91.540504,581.913757,170.587296,-114.273033,483.141968,-156.943863,-431.389221,337.237244,-113.107994,-469.607239,108.458664,133.913559,-140.347778,148.410095,65.379211,-83.643463,164.586853,-32.54422,-449.86084,132.86264,-59.686314,-265.490692,50.789715,-68.737473,-543.037476,71.4739,151.230789,86.30294,106.293121,78.081512,-181.414581,86.554703
236,98.028885,-201.098846,1707.836792,29.480927,-104.293411,1712.608765,-82.491211,-196.787292,1706.747803,-13.325353,-317.886658,1719.51062,182.561874,-375.110779,1471.316772,-27.806854,-440.298645,1451.569458,262.684784,-393.44281,1147.450928,312.293427,-360.38092,879.775269,252.010941,-215.756866,905.547058,-234.861572,-358.237091,1482.852783,-324.666626,-289.403229,1174.662109,-386.88147,-142.447128,934.907166,-327.272095,-35.166512,1037.825806,-22.497791,-223.995453,1379.46814,128.136963,-298.036743,1099.02356,-158.760132,-270.107147,1101.687866,178.556747,-222.992645,831.664551,-183.373062,-330.5112,699.959045,152.868652,-110.723152,595.05603,-136.501984,-358.325836,549.345337,-20.738413,-386.347351,546.91333,47.708477,-83.679642,576.801331,170.341675,-101.454781,479.30423,-156.636261,-428.206604,337.339691,-112.814651,-469.344116,108.705261,137.313141,-106.802467,143.36203,68.92012,-51.08149,162.340118,-32.2066,-449.240326,133.108841,-59.612579,-265.449799,50.663368,-68.813812,-542.716187,72.157669,156.036972,121.699974,115.490158,82.351631,-143.26001,77.336655
237,98.952309,-190.011383,1706.101685,30.201399,-92.996399,1711.040283,-81.603722,-185.61795,1705.175293,-12.417319,-306.913177,1717.569336,183.283218,-363.63678,1469.165649,-27.192968,-428.533661,1449.231323,263.271332,-382.309692,1145.397705,313.474762,-349.967987,878.139771,252.074219,-205.744934,903.097351,-234.129868,-346.679291,1481.203003,-324.835236,-275.955963,1173.543945,-386.769623,-125.452927,935.862488,-326.777496,-19.935099,1040.022827,-22.664639,-212.292191,1377.754028,128.816498,-284.716309,1096.473511,-157.960938,-258.554626,1099.535034,178.595856,-212.482468,826.967407,-183.221146,-323.080566,698.783691,151.176178,-102.125679,589.862,-136.330276,-352.993469,548.594971,-20.268311,-381.136475,546.8573,45.83736,-76.086006,571.651978,169.980835,-88.863937,475.614868,-156.486603,-425.281067,337.428009,-112.538246,-468.802002,109.386238,140.846191,-74.795303,139.445053,72.212486,-20.308502,160.954773,-31.704998,-448.589722,133.417145,-59.481049,-265.371399,50.650986,-68.523651,-542.97168,72.694023,159.703125,155.199402,126.813232,87.345589,-106.636925,70.108246
238,99.741219,-179.198761,1704.286255,30.935305,-81.715706,1709.595215,-80.775452,-174.756897,1703.406128,-11.586613,-296.007751,1715.491333,183.901215,-351.892639,1466.760376,-26.234432,-417.112488,1446.833862,263.946228,-371.528656,1143.430664,314.340363,-339.770905,876.138306,252.364944,-195.242584,900.336975,-233.389389,-335.120178,1479.187988,-324.877625,-262.686737,1172.201904,-386.462555,-108.892044,936.262024,-326.009766,-4.759667,1042.125977,-21.607153,-200.672012,1375.906006,129.605301,-271.322998,1094.797607,-157.380096,-246.375458,1097.808472,178.838898,-201.790756,821.789612,-183.107422,-315.443848,698.028748,148.906174,-93.55381,584.706482,-135.861771,-347.686249,547.984924,-19.696934,-375.780609,546.589844,43.987896,-68.696304,565.830383,169.360489,-76.4403,472.134033,-155.883163,-421.861877,337.67157,-112.105659,-468.155457,110.268089,144.843155,-44.021931,136.833542,75.416061,8.642204,160.711349,-31.251348,-448.021759,133.656372,-59.637856,-265.532043,50.814213,-68.00309,-542.055603,73.661888,162.133606,186.483063,138.689743,92.740669,-71.979218,65.234215
