Trial03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,12/09/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,14:54:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type:,ShareSpace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description:,squat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAJECTORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tempe_D,,,front,,,tempe_G,,,occiput,,,epaule_D,,,dos,,,coude_D,,,poignet_int_D,,,poignet_ext_D,,,epaule_G,,,coude_G,,,poignet_int_G,,,poignet_ext_G,,,sternum,,,hanche_D,,,hanche_G,,,femur_D,,,femur_G,,,genoux_ext_D,,,genoux_ext_G,,,genoux_int_G,,,genoux_int_D,,,tibias_D,,,tibias_G,,,cheville_ext_G,,,cheville_ext_D,,,cheville_int_D,,,cheville_int_G,,,orteil_G,,,talon_G,,,orteil_D,,,talon_D,,
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4,489.464569,300.634125,1723.477783,404.074615,433.713165,1739.322388,316.398529,356.300964,1715.972778,375.854095,221.177551,1713.442749,608.036377,228.9375,1463.383423,402.783478,143.137085,1426.461792,667.719055,238.995285,1124.519653,723.212158,289.543121,866.284729,633.091309,415.03186,903.969849,208.173737,199.593445,1477.335938,136.499939,246.931915,1130.680298,74.036659,303.315033,875.996887,111.956139,448.818024,932.024902,391.246063,368.021606,1355.99939,536.038513,312.164886,1088.865723,250.558365,323.592773,1069.804932,598.309387,302.333374,793.70575,190.283768,296.653809,721.364929,574.178284,283.203094,539.521606,212.229156,273.091125,548.675354,311.079407,300.043854,521.386719,474.598724,291.668274,522.951965,605.823914,246.176071,448.453033,162.73732,230.855545,353.834106,157.039551,214.592651,100.897285,616.318237,205.383728,122.223877,555.435669,217.102142,108.613777,240.873489,240.154877,104.578453,166.909851,425.810089,49.358555,201.678436,148.852463,38.594269,622.905701,433.012085,51.12418,581.935608,159.303192,47.495026
5,489.443115,300.457367,1723.394653,404.022217,433.631531,1739.361694,316.350372,356.263947,1716.061768,375.700806,221.046188,1713.356323,607.973206,228.96019,1463.458862,402.730469,143.131042,1426.483521,667.626343,238.963821,1124.562012,723.096375,289.507141,866.306091,632.886719,415.036713,903.94928,208.109573,199.587952,1477.304199,136.550934,246.956879,1130.560303,74.106941,303.325378,875.88855,112.046867,448.782837,931.974121,391.168457,368.026276,1355.991821,536.064087,312.073792,1088.816772,250.575623,323.573944,1069.795288,598.293274,302.236115,793.695007,190.287552,296.680573,721.416077,574.232666,283.139984,539.562683,212.200165,273.161041,548.697327,311.087402,299.998413,521.364563,474.625732,291.569427,522.972473,605.858093,245.84343,448.567474,162.735474,230.914459,353.835815,157.016113,214.58371,100.93618,616.337097,205.337402,122.245094,555.45929,216.99675,108.765251,240.93132,240.156616,104.43705,166.920181,425.842194,49.345623,201.67128,148.843765,38.582703,622.899719,433.051208,51.129608,581.949036,159.285538,47.414417
6,489.371765,300.239746,1723.442017,404.0802,433.470612,1739.519165,316.395599,356.224243,1716.163208,375.520355,220.979858,1713.291626,607.853027,228.925888,1463.498901,402.653717,143.158005,1426.493042,667.609314,238.88353,1124.609863,722.977905,289.359222,866.315247,632.750671,414.928528,903.926636,208.058395,199.597,1477.270142,136.623428,246.947464,1130.509888,74.170219,303.351349,875.826416,112.16803,448.750397,931.872864,391.11557,368.050262,1356.013794,536.101196,311.982513,1088.868408,250.597839,323.578552,1069.789795,598.308533,302.210541,793.677551,190.323639,296.664551,721.37854,574.229065,283.146454,539.569946,212.190094,273.165741,548.70282,311.099304,299.979828,521.357849,474.726624,291.54953,522.862915,605.812744,245.802948,448.485504,162.732132,230.942413,353.870087,156.987579,214.601532,100.945389,616.319031,205.380737,122.226059,555.486938,217.005692,108.733253,240.905777,240.162552,104.508018,166.948578,425.794342,49.339001,201.673859,148.81601,38.59993,622.879517,433.056824,51.152172,581.946289,159.223404,47.432854
7,489.299408,299.908173,1723.420166,404.170776,433.224854,1739.674316,316.32132,356.178101,1716.257324,375.422211,220.918289,1713.243774,607.777405,228.90271,1463.534058,402.569702,143.115784,1426.47937,667.614685,238.672653,1124.703735,722.807556,289.260406,866.326599,632.652466,414.691986,903.877014,207.963272,199.612686,1477.258545,136.648041,246.93782,1130.457275,74.261452,303.377502,875.74939,112.266502,448.700745,931.770935,391.11319,367.990051,1355.999634,536.12384,311.852814,1088.899902,250.569229,323.576752,1069.81543,598.457275,302.061249,793.699036,190.35585,296.669861,721.359924,573.948303,283.296692,539.774536,212.22493,273.163147,548.676697,311.099792,299.980225,521.358276,474.750519,291.472595,522.883789,605.928223,245.726807,448.596771,162.72467,230.924774,353.859039,157.018814,214.606262,100.936745,616.312683,205.338089,122.226891,555.438904,217.023849,108.744156,240.941193,240.164276,104.469643,166.918701,425.83606,49.367363,201.68486,148.837372,38.569416,622.916748,433.031342,51.124332,581.970154,159.210129,47.402557
8,489.352783,297.825531,1723.620728,404.338257,432.826263,1739.874634,316.36142,356.135681,1716.364868,375.292908,220.827484,1713.224731,607.723206,228.858536,1463.500854,402.504639,143.103256,1426.470947,667.395142,238.709473,1124.631348,722.75531,289.101288,866.433044,632.528198,414.566284,903.769226,207.916519,199.591949,1477.211792,136.598129,246.901276,1130.441162,74.390228,303.393982,875.689819,112.437424,448.684692,931.680298,391.042572,367.995667,1356.004517,536.16748,311.715942,1088.899292,250.648605,323.554657,1069.761719,598.390686,302.008331,793.77417,190.356201,296.670197,721.359802,574.13446,283.063568,539.606445,212.249237,273.211273,548.707886,311.109467,299.98468,521.350281,474.754883,291.455994,522.95697,605.824646,245.684845,448.515778,162.7509,230.969009,353.859406,157.02034,214.622086,100.954994,616.333801,205.321396,122.266487,555.487122,217.001389,108.759628,240.944183,240.138824,104.454269,166.926544,425.833069,49.363808,201.655197,148.847961,38.591457,622.888428,433.008881,51.146877,581.951416,159.281845,47.410286
9,489.392731,297.578003,1723.636719,404.592163,432.295868,1739.959717,316.353912,356.105835,1716.441406,375.186676,220.794189,1713.07019,607.63031,228.841644,1463.534424,402.425659,143.066406,1426.516357,667.348145,238.660263,1124.574951,722.617737,289.049896,866.393738,632.396606,414.38623,903.869507,207.842758,199.594986,1477.168823,136.669067,246.921265,1130.368774,74.491631,303.384186,875.610474,112.586334,448.651367,931.572266,391.02951,368.014221,1355.97998,536.191345,311.631165,1088.858154,250.666748,323.437592,1069.755249,598.386108,301.98053,793.647766,190.404068,296.636169,721.340637,574.179443,283.023926,539.612671,212.191727,273.166046,548.702515,311.163971,300.125488,521.199463,474.785431,291.465485,522.949463,605.909302,245.702423,448.606232,162.736221,230.937271,353.885437,157.011917,214.589386,100.937469,616.331299,205.341232,122.241905,555.465759,216.996307,108.732727,240.944046,240.163361,104.510605,166.95517,425.795563,49.326324,201.638763,148.840454,38.599586,622.873108,433.03833,51.107075,581.947754,159.250198,47.393494
10,489.252411,297.757019,1723.53894,404.716156,432.073212,1740.187378,316.350159,356.029633,1716.532104,375.028687,220.683624,1713.003052,607.523621,228.794968,1463.580322,402.316498,143.009628,1426.52832,667.174011,238.527969,1124.666626,722.492981,288.99585,866.381958,632.273804,414.233551,903.836487,207.717072,199.618195,1477.123657,136.741959,246.941025,1130.273926,74.608505,303.377808,875.471924,112.696159,448.664764,931.474365,390.965302,367.940063,1355.973145,536.220886,311.532715,1088.885376,250.670654,323.427185,1069.729248,598.446472,301.927826,793.607971,190.405502,296.635223,721.339783,574.180969,283.046295,539.621765,212.276855,273.09967,548.690369,311.124023,300.020538,521.326599,474.828705,291.396515,522.949524,605.900208,245.737289,448.493225,162.74205,230.921616,353.866577,157.015854,214.611572,100.910805,616.232056,205.128342,122.26107,555.467712,216.998108,108.742348,240.912277,240.191147,104.524681,166.950211,425.791992,49.336765,201.656906,148.831268,38.570362,622.893555,433.037415,51.126255,581.972229,159.24707,47.417439
11,489.056793,298.768799,1723.627563,404.855682,431.988342,1740.366577,316.343842,355.970154,1716.623657,374.828064,220.610764,1712.9552,607.373413,228.743423,1463.665894,402.2435,143.069046,1426.508667,667.009338,238.42807,1124.661011,722.282654,288.853485,866.259155,632.038818,414.029816,903.566162,207.63974,199.608398,1477.061279,136.700516,246.91893,1130.216309,74.722878,303.354095,875.367065,112.852631,448.667694,931.366577,390.943054,367.963501,1356.030518,536.240234,311.55542,1088.87439,250.669495,323.430206,1069.729858,598.455994,301.912201,793.619507,190.446732,296.599121,721.32019,574.232056,282.990295,539.641235,212.270676,273.093292,548.687683,311.165985,299.972778,521.351135,474.914734,291.343262,522.906982,605.970093,246.046936,448.50708,162.756775,230.915497,353.85611,156.973755,214.634628,100.908943,616.324219,205.316223,122.22345,555.472168,216.997589,108.734528,240.921051,240.154755,104.516739,166.951843,425.797821,49.315777,201.674362,148.815887,38.598911,622.873596,433.03891,51.106766,581.949463,159.247498,47.394543
12,488.909058,298.782562,1723.585327,404.972626,431.839447,1740.549072,316.339783,355.88269,1716.711304,374.694489,220.498581,1712.83313,607.307434,228.74733,1463.69873,402.127045,143.025116,1426.540771,666.820374,238.403702,1124.697144,721.931458,289.039001,865.834961,632.019348,413.832642,903.754395,207.569382,199.635757,1477.008179,136.691803,246.931854,1130.150879,74.84594,303.339661,875.252197,112.963326,448.667389,931.303162,390.904999,367.907471,1355.954224,536.241638,311.497467,1088.931641,250.673737,323.354004,1069.68689,598.454956,301.912567,793.622803,190.467712,296.565369,721.30658,574.186401,283.034393,539.619568,212.302429,273.102631,548.682678,311.197021,299.921814,521.307739,474.921692,291.342041,522.90094,606.05249,246.083786,448.614929,162.758438,230.863846,353.841125,157.010101,214.683517,101.059456,616.320679,205.387909,122.220665,555.452698,216.993866,108.76976,240.912338,240.181534,104.471588,166.960266,425.813538,49.374985,201.692245,148.83873,38.586384,622.879333,433.066315,51.085621,581.970154,159.212631,47.399376
