date,sunrise,sunset,daylight_s,sunrise_h,sunset_h,daylight_h
2023-01-01,2023-01-01 06:13:00,2023-01-01 18:21:00,43670.28,6.216666666666667,18.35,12.130633333333334
2023-01-02,2023-01-02 06:13:00,2023-01-02 18:21:00,43669.84,6.216666666666667,18.35,12.13051111111111
2023-01-03,2023-01-03 06:14:00,2023-01-03 18:22:00,43669.36,6.233333333333333,18.366666666666667,12.130377777777777
2023-01-04,2023-01-04 06:14:00,2023-01-04 18:22:00,43668.84,6.233333333333333,18.366666666666667,12.130233333333333
2023-01-05,2023-01-05 06:15:00,2023-01-05 18:23:00,43668.29,6.25,18.383333333333333,12.130080555555557
2023-01-06,2023-01-06 06:15:00,2023-01-06 18:23:00,43667.71,6.25,18.383333333333333,12.129919444444445
2023-01-07,2023-01-07 06:16:00,2023-01-07 18:24:00,43667.09,6.266666666666667,18.4,12.129747222222221
2023-01-08,2023-01-08 06:16:00,2023-01-08 18:24:00,43666.45,6.266666666666667,18.4,12.129569444444444
2023-01-09,2023-01-09 06:17:00,2023-01-09 18:24:00,43665.77,6.283333333333333,18.4,12.129380555555555
2023-01-10,2023-01-10 06:17:00,2023-01-10 18:25:00,43665.07,6.283333333333333,18.416666666666668,12.12918611111111
2023-01-11,2023-01-11 06:17:00,2023-01-11 18:25:00,43664.33,6.283333333333333,18.416666666666668,12.128980555555556
2023-01-12,2023-01-12 06:18:00,2023-01-12 18:26:00,43663.58,6.3,18.433333333333334,12.128772222222223
2023-01-13,2023-01-13 06:18:00,2023-01-13 18:26:00,43662.8,6.3,18.433333333333334,12.128555555555556
2023-01-14,2023-01-14 06:19:00,2023-01-14 18:26:00,43662.0,6.316666666666666,18.433333333333334,12.128333333333334
2023-01-15,2023-01-15 06:19:00,2023-01-15 18:27:00,43661.18,6.316666666666666,18.45,12.128105555555555
2023-01-16,2023-01-16 06:19:00,2023-01-16 18:27:00,43660.34,6.316666666666666,18.45,12.127872222222221
2023-01-17,2023-01-17 06:20:00,2023-01-17 18:27:00,43659.47,6.333333333333333,18.45,12.127630555555555
2023-01-18,2023-01-18 06:20:00,2023-01-18 18:28:00,43658.59,6.333333333333333,18.466666666666665,12.127386111111111
2023-01-19,2023-01-19 06:20:00,2023-01-19 18:28:00,43657.68,6.333333333333333,18.466666666666665,12.127133333333333
2023-01-20,2023-01-20 06:21:00,2023-01-20 18:28:00,43656.75,6.35,18.466666666666665,12.126875
2023-01-21,2023-01-21 06:21:00,2023-01-21 18:28:00,43655.79,6.35,18.466666666666665,12.126608333333333
2023-01-22,2023-01-22 06:21:00,2023-01-22 18:29:00,43654.8,6.35,18.483333333333334,12.126333333333335
2023-01-23,2023-01-23 06:21:00,2023-01-23 18:29:00,43653.79,6.35,18.483333333333334,12.126052777777778
2023-01-24,2023-01-24 06:22:00,2023-01-24 18:29:00,43652.77,6.366666666666666,18.483333333333334,12.125769444444444
2023-01-25,2023-01-25 06:22:00,2023-01-25 18:29:00,43651.73,6.366666666666666,18.483333333333334,12.125480555555557
2023-01-26,2023-01-26 06:22:00,2023-01-26 18:30:00,43650.68,6.366666666666666,18.5,12.12518888888889
