date,sunrise,sunset,daylight_s,sunrise_h,sunset_h,daylight_h
2023-01-01,2023-01-01 00:00:00,2023-01-01 00:00:00,0.0,0.0,0.0,0.0
2023-01-02,2023-01-02 00:00:00,2023-01-02 00:00:00,0.0,0.0,0.0,0.0
2023-01-03,2023-01-03 00:00:00,2023-01-03 00:00:00,0.0,0.0,0.0,0.0
2023-01-04,2023-01-04 00:00:00,2023-01-04 00:00:00,0.0,0.0,0.0,0.0
2023-01-05,2023-01-05 00:00:00,2023-01-05 00:00:00,0.0,0.0,0.0,0.0
2023-01-06,2023-01-06 00:00:00,2023-01-06 00:00:00,0.0,0.0,0.0,0.0
2023-01-07,2023-01-07 00:00:00,2023-01-07 00:00:00,0.0,0.0,0.0,0.0
2023-01-08,2023-01-08 00:00:00,2023-01-08 00:00:00,0.0,0.0,0.0,0.0
2023-01-09,2023-01-09 00:00:00,2023-01-09 00:00:00,0.0,0.0,0.0,0.0
2023-01-10,2023-01-10 00:00:00,2023-01-10 00:00:00,0.0,0.0,0.0,0.0
2023-01-11,2023-01-11 00:00:00,2023-01-11 00:00:00,0.0,0.0,0.0,0.0
2023-01-12,2023-01-12 00:00:00,2023-01-12 00:00:00,0.0,0.0,0.0,0.0
2023-01-13,2023-01-13 00:00:00,2023-01-13 00:00:00,0.0,0.0,0.0,0.0
2023-01-14,2023-01-14 00:00:00,2023-01-14 00:00:00,0.0,0.0,0.0,0.0
2023-01-15,2023-01-15 12:32:00,2023-01-15 13:16:00,2522.96,12.533333333333333,13.266666666666667,0.7008222222222222
2023-01-16,2023-01-16 12:16:00,2023-01-16 13:33:00,4613.2,12.266666666666667,13.55,1.2814444444444444
2023-01-17,2023-01-17 12:04:00,2023-01-17 13:46:00,6055.06,12.066666666666666,13.766666666666667,1.6819611111111112
2023-01-18,2023-01-18 11:54:00,2023-01-18 13:56:00,7247.15,11.9,13.933333333333334,2.013097222222222
2023-01-19,2023-01-19 11:46:00,2023-01-19 14:05:00,8308.74,11.766666666666667,14.083333333333334,2.307983333333333
2023-01-20,2023-01-20 11:38:00,2023-01-20 14:13:00,9285.9,11.633333333333333,14.216666666666667,2.5794166666666665
2023-01-21,2023-01-21 11:31:00,2023-01-21 14:21:00,10201.84,11.516666666666667,14.35,2.8338444444444444
2023-01-22,2023-01-22 11:24:00,2023-01-22 14:29:00,11070.75,11.4,14.483333333333333,3.0752083333333333
2023-01-23,2023-01-23 11:17:00,2023-01-23 14:36:00,11902.0,11.283333333333333,14.6,3.306111111111111
2023-01-24,2023-01-24 11:11:00,2023-01-24 14:43:00,12702.11,11.183333333333334,14.716666666666667,3.528363888888889
2023-01-25,2023-01-25 11:04:00,2023-01-25 14:49:00,13475.83,11.066666666666666,14.816666666666666,3.743286111111111
2023-01-26,2023-01-26 10:58:00,2023-01-26 14:56:00,14226.71,10.966666666666667,14.933333333333334,3.9518638888888886
2023-01-27,2023-01-27 10:53:00,2023-01-27 15:02:00,14957.44,10.883333333333333,15.033333333333333,4.154844444444445
2023-01-28,2023-01-28 10:47:00,2023-01-28 15:08:00,15670.15,10.783333333333333,15.133333333333333,4.352819444444444
2023-01-29,2023-01-29 10:41:00,2023-01-29 15:14:00,16366.55,10.683333333333334,15.233333333333333,4.546263888888888
2023-01-30,2023-01-30 10:36:00,2023-01-30 15:20:00,17048.0,10.6,15.333333333333334,4.735555555555556
2023-01-31,2023-01-31 10:30:00,2023-01-31 15:26:00,17715.61,10.5,15.433333333333334,4.921002777777778
2023-02-01,2023-02-01 10:25:00,2023-02-01 15:32:00,18370.34,10.416666666666666,15.533333333333333,5.1028722222222225
2023-02-02,2023-02-02 10:20:00,2023-02-02 15:37:00,19012.9,10.333333333333334,15.616666666666667,5.281361111111112
2023-02-03,2023-02-03 10:15:00,2023-02-03 15:42:00,19643.98,10.25,15.7,5.456661111111111
2023-02-04,2023-02-04 10:10:00,2023-02-04 15:48:00,20264.11,10.166666666666666,15.8,5.628919444444445
2023-02-05,2023-02-05 10:05:00,2023-02-05 15:53:00,20873.75,10.083333333333334,15.883333333333333,5.798263888888889
2023-02-06,2023-02-06 10:00:00,2023-02-06 15:58:00,21473.29,10.0,15.966666666666667,5.964802777777778
2023-02-07,2023-02-07 09:55:00,2023-02-07 16:03:00,22063.78,9.916666666666666,16.05,6.1288277777777775
2023-02-08,2023-02-08 09:50:00,2023-02-08 16:08:00,22651.5,9.833333333333334,16.133333333333333,6.292083333333333
2023-02-09,2023-02-09 09:45:00,2023-02-09 16:13:00,23237.56,9.75,16.216666666666665,6.454877777777778
2023-02-10,2023-02-10 09:40:00,2023-02-10 16:18:00,23821.64,9.666666666666666,16.3,6.617122222222222
2023-02-11,2023-02-11 09:35:00,2023-02-11 16:22:00,24403.46,9.583333333333334,16.366666666666667,6.778738888888888
2023-02-12,2023-02-12 09:31:00,2023-02-12 16:27:00,24982.76,9.516666666666667,16.45,6.9396555555555555
2023-02-13,2023-02-13 09:26:00,2023-02-13 16:32:00,25559.31,9.433333333333334,16.533333333333335,7.099808333333334
2023-02-14,2023-02-14 09:21:00,2023-02-14 16:37:00,26132.91,9.35,16.616666666666667,7.259141666666666
2023-02-15,2023-02-15 09:16:00,2023-02-15 16:42:00,26703.34,9.266666666666667,16.7,7.417594444444444
2023-02-16,2023-02-16 09:11:00,2023-02-16 16:46:00,27270.44,9.183333333333334,16.766666666666666,7.575122222222221
2023-02-17,2023-02-17 09:07:00,2023-02-17 16:51:00,27834.02,9.116666666666667,16.85,7.7316722222222225
2023-02-18,2023-02-18 09:02:00,2023-02-18 16:55:00,28393.94,9.033333333333333,16.916666666666668,7.887205555555555
2023-02-19,2023-02-19 08:57:00,2023-02-19 17:00:00,28950.04,8.95,17.0,8.041677777777778
2023-02-20,2023-02-20 08:52:00,2023-02-20 17:04:00,29502.17,8.866666666666667,17.066666666666666,8.195047222222222
2023-02-21,2023-02-21 08:48:00,2023-02-21 17:09:00,30050.2,8.8,17.15,8.347277777777778
2023-02-22,2023-02-22 08:43:00,2023-02-22 17:13:00,30593.99,8.716666666666667,17.216666666666665,8.498330555555556
2023-02-23,2023-02-23 08:39:00,2023-02-23 17:18:00,31133.4,8.65,17.3,8.648166666666667
2023-02-24,2023-02-24 08:34:00,2023-02-24 17:22:00,31668.3,8.566666666666666,17.366666666666667,8.79675
2023-02-25,2023-02-25 08:29:00,2023-02-25 17:26:00,32198.55,8.483333333333333,17.433333333333334,8.944041666666667
2023-02-26,2023-02-26 08:25:00,2023-02-26 17:31:00,32724.03,8.416666666666666,17.516666666666666,9.090008333333333
2023-02-27,2023-02-27 08:20:00,2023-02-27 17:35:00,33245.14,8.333333333333334,17.583333333333332,9.23476111111111
2023-02-28,2023-02-28 08:16:00,2023-02-28 17:39:00,33766.28,8.266666666666667,17.65,9.379522222222223
2023-03-01,2023-03-01 08:11:00,2023-03-01 17:43:00,34288.27,8.183333333333334,17.716666666666665,9.524519444444444
2023-03-02,2023-03-02 08:07:00,2023-03-02 17:47:00,34810.86,8.116666666666667,17.783333333333335,9.669683333333333
2023-03-03,2023-03-03 08:02:00,2023-03-03 17:51:00,35333.8,8.033333333333333,17.85,9.814944444444444
